dataset,dimred,n_samples,d,n_clusters,seed,pipeline,sp_amount,silhouette,ari,nmi,time_dimred_sec,time_kmeans_sec,time_total_sec
mnist,pca,10000,2,10,42,raw,0.05,0.33466437458992004,0.1544759800128312,0.23527616953517924,0.3428163999997196,2.1233814999977767,2.4661978999974963
mnist,pca,10000,2,10,52,raw,0.05,0.34856605529785156,0.2178221046581157,0.321841971813254,0.3159702999982983,0.023830999998608604,0.3398012999969069
mnist,pca,10000,2,10,62,raw,0.05,0.3397696614265442,0.16709416607414465,0.2589116164031878,0.2705411999995704,0.014868499998556217,0.2854096999981266
mnist,pca,10000,5,10,42,raw,0.05,0.23308026790618896,0.2882839098674189,0.4133210619116567,0.27500189999773283,0.0227405000005092,0.29774239999824204
mnist,pca,10000,5,10,52,raw,0.05,0.22206906974315643,0.29068418776762306,0.4050015380809991,0.30857429999741726,0.019932999999582535,0.3285072999969998
mnist,pca,10000,5,10,62,raw,0.05,0.21124084293842316,0.28334770236133794,0.400371840375473,0.2887201000012283,0.023477300001104595,0.31219740000233287
mnist,pca,10000,10,10,42,raw,0.05,0.15825116634368896,0.29151019229265673,0.4246646965418975,0.31653649999861955,0.03002609999748529,0.34656259999610484
mnist,pca,10000,10,10,52,raw,0.05,0.1669279932975769,0.34759872151131316,0.4489231576951567,0.30026480000015,0.029088999999657972,0.32935379999980796
mnist,pca,10000,10,10,62,raw,0.05,0.17395158112049103,0.32314150163465577,0.43964940961200843,0.2886496999999508,0.027622099998552585,0.3162717999985034
mnist,pca,10000,20,10,42,raw,0.05,0.1094772070646286,0.3141170071451106,0.4483601183406676,0.31960549999712384,0.034638400000403635,0.3542438999975275
mnist,pca,10000,20,10,52,raw,0.05,0.1202847883105278,0.3800969336754072,0.48476648996006905,0.29460280000057537,0.028016399999614805,0.3226192000001902
mnist,pca,10000,20,10,62,raw,0.05,0.12426792085170746,0.3344840859657239,0.45782739361297226,0.3115362000025925,0.032528899999306304,0.3440651000018988
mnist,pca,10000,50,10,42,raw,0.05,0.07580219954252243,0.35482293990943076,0.4683959179667984,0.3184246000018902,0.044121200000518,0.3625458000024082
mnist,pca,10000,50,10,52,raw,0.05,0.06291888654232025,0.3297613169353816,0.468101363476633,0.2944108000010601,0.039969999997993,0.3343807999990531
mnist,pca,10000,50,10,62,raw,0.05,0.05473896488547325,0.2781831613407162,0.41780276356402407,0.34649089999948046,0.04175350000150502,0.3882444000009855
mnist,pca,10000,2,10,42,sharpen_hog,0.05,0.3383648991584778,0.13083442152369748,0.2326118799593452,0.1623728000013216,0.020971799996914342,0.18334459999823594
mnist,pca,10000,2,10,52,sharpen_hog,0.05,0.35274264216423035,0.2628410794233789,0.38124120323452315,0.14761540000108653,0.017760800001269672,0.1653762000023562
mnist,pca,10000,2,10,62,sharpen_hog,0.05,0.3316517472267151,0.13777453758900338,0.25688008593277045,0.1692574999979115,0.02824730000065756,0.19750479999856907
mnist,pca,10000,5,10,42,sharpen_hog,0.05,0.23250696063041687,0.33666540877587947,0.46860761071490686,0.17095210000115912,0.024293300000863383,0.1952454000020225
mnist,pca,10000,5,10,52,sharpen_hog,0.05,0.22203798592090607,0.3442401713521801,0.4594144984410711,0.18685289999848465,0.024488800001563504,0.21134170000004815
mnist,pca,10000,5,10,62,sharpen_hog,0.05,0.23400308191776276,0.33287307042912073,0.47178166946794453,0.17556580000018585,0.03949710000233608,0.21506290000252193
mnist,pca,10000,10,10,42,sharpen_hog,0.05,0.18859514594078064,0.43518892654139746,0.541504822628969,0.1741742999984126,0.0328799999988405,0.2070542999972531
mnist,pca,10000,10,10,52,sharpen_hog,0.05,0.1878385841846466,0.4459086289683529,0.5483685081442022,0.15332109999872046,0.02236089999860269,0.17568199999732315
mnist,pca,10000,10,10,62,sharpen_hog,0.05,0.18870270252227783,0.4369853351372638,0.5474627578912672,0.18006899999818415,0.04177740000159247,0.22184639999977662
mnist,pca,10000,20,10,42,sharpen_hog,0.05,0.13252565264701843,0.4531106424353225,0.5590795183657232,0.2416975000014645,0.04043660000024829,0.2821341000017128
mnist,pca,10000,20,10,52,sharpen_hog,0.05,0.13380099833011627,0.5023958310613079,0.5884810300347348,0.15438970000104746,0.016400200001953635,0.1707899000030011
mnist,pca,10000,20,10,62,sharpen_hog,0.05,0.1329890489578247,0.4399045338182619,0.5551287025948947,0.19646320000174455,0.018123200003174134,0.2145864000049187
mnist,pca,10000,50,10,42,sharpen_hog,0.05,0.07277066260576248,0.45370817861596285,0.5615038808744539,0.37981910000235075,0.04775549999976647,0.4275746000021172
mnist,pca,10000,50,10,52,sharpen_hog,0.05,0.07448872923851013,0.5025445991459245,0.5883366433762893,0.3315329000033671,0.03291679999892949,0.3644497000022966
mnist,pca,10000,50,10,62,sharpen_hog,0.05,0.07478822022676468,0.48704175173619424,0.5824866972153502,0.34105510000154027,0.024045500002102926,0.3651006000036432
mnist,umap,10000,2,10,42,raw,0.05,0.4826027452945709,0.4819185815320018,0.5941301943318851,28.5754076000012,0.014102699999057222,28.589510300000256
mnist,umap,10000,2,10,52,raw,0.05,0.44581156969070435,0.49976352215945186,0.6066879581513208,3.520239600002242,0.016620700000203215,3.536860300002445
mnist,umap,10000,2,10,62,raw,0.05,0.4538879990577698,0.4596821025208383,0.5780899630663009,3.1454608000021835,0.01539520000005723,3.1608560000022408
mnist,umap,10000,5,10,42,raw,0.05,0.4878363311290741,0.45565867915723735,0.6027300895904801,3.3397836000003736,0.014697599999635713,3.3544812000000093
mnist,umap,10000,5,10,52,raw,0.05,0.399716854095459,0.497923044812056,0.6041127345258506,3.468066399997042,0.0176233999991382,3.4856897999961802
mnist,umap,10000,5,10,62,raw,0.05,0.42361536622047424,0.4592498573820153,0.5886552897228452,3.4554191999995965,0.0157292999974743,3.4711484999970708
mnist,umap,10000,10,10,42,raw,0.05,0.4953233301639557,0.4880520992861674,0.6125412049610666,4.1265510999983235,0.016570499999943422,4.143121599998267
mnist,umap,10000,10,10,52,raw,0.05,0.42346030473709106,0.494813418102834,0.6014170627180497,3.8324441999975534,0.020866899998509325,3.8533110999960627
mnist,umap,10000,10,10,62,raw,0.05,0.39632341265678406,0.4567521743510182,0.5874927692145805,3.7872556999973312,0.018000399999436922,3.805256099996768
mnist,umap,10000,20,10,42,raw,0.05,0.4846650958061218,0.4542243549075086,0.6016254782796318,4.035327800000232,0.019236000000091735,4.054563800000324
mnist,umap,10000,20,10,52,raw,0.05,0.3981553316116333,0.4998195781074646,0.6053666008635038,4.1297526999987895,0.02049320000151056,4.1502459000003
mnist,umap,10000,20,10,62,raw,0.05,0.4277368187904358,0.44436678384031947,0.5818704563018537,4.03277899999739,0.02099590000216267,4.053774899999553
mnist,umap,10000,50,10,42,raw,0.05,0.4160192012786865,0.49465245558873805,0.5930025425175898,5.577976299999136,0.030958200000895886,5.608934500000032
mnist,umap,10000,50,10,52,raw,0.05,0.4238163232803345,0.5015782045874878,0.6114528310673915,5.726618500000768,0.029920400000264635,5.756538900001033
mnist,umap,10000,50,10,62,raw,0.05,0.4233328104019165,0.4504354808412697,0.5922687583117183,5.272907999999006,0.02979629999754252,5.302704299996549
mnist,umap,10000,2,10,42,sharpen_hog,0.05,0.4791417121887207,0.5243380959908718,0.613620497905054,3.6250758999995014,0.015479300000151852,3.6405551999996533
mnist,umap,10000,2,10,52,sharpen_hog,0.05,0.44339197874069214,0.5660340722762477,0.6455897964959499,3.61238400000002,0.015241299999615876,3.627625299999636
mnist,umap,10000,2,10,62,sharpen_hog,0.05,0.47582733631134033,0.5302982600191569,0.6267828992798959,6.913901100000658,0.022361799998179777,6.936262899998837
mnist,umap,10000,5,10,42,sharpen_hog,0.05,0.42949163913726807,0.5250381685027676,0.6224912495512844,7.278034500002832,0.02962399999887566,7.307658500001708
mnist,umap,10000,5,10,52,sharpen_hog,0.05,0.4421919882297516,0.599826224274289,0.6559993999335789,7.171159699999407,0.016566500002227258,7.187726200001634
mnist,umap,10000,5,10,62,sharpen_hog,0.05,0.4230253994464874,0.5551587964303362,0.6379910344736045,3.9235746000013023,0.01624450000235811,3.9398191000036604
mnist,umap,10000,10,10,42,sharpen_hog,0.05,0.43072378635406494,0.5312175672679268,0.621472319257008,4.378407300002436,0.016615700002148515,4.395023000004585
mnist,umap,10000,10,10,52,sharpen_hog,0.05,0.41129839420318604,0.5094756728012899,0.6210128411170239,4.375383200000215,0.01852359999975306,4.393906799999968
mnist,umap,10000,10,10,62,sharpen_hog,0.05,0.4239244759082794,0.5567069752710524,0.6389785489252907,4.451809300000605,0.016885199998796452,4.468694499999401
mnist,umap,10000,20,10,42,sharpen_hog,0.05,0.4225232005119324,0.5599082127552428,0.6249911315909185,4.822634099997231,0.01995530000203871,4.8425893999992695
mnist,umap,10000,20,10,52,sharpen_hog,0.05,0.44695714116096497,0.5561720584402918,0.6458894939833075,4.904197300002124,0.019579899999371264,4.923777200001496
mnist,umap,10000,20,10,62,sharpen_hog,0.05,0.4436597526073456,0.5488392956986637,0.6424967596416542,4.677923200000805,0.021968099998048274,4.699891299998853
mnist,umap,10000,50,10,42,sharpen_hog,0.05,0.4357816278934479,0.5736063606690206,0.6319079677933843,6.084064499998931,0.030522799999744166,6.114587299998675
mnist,umap,10000,50,10,52,sharpen_hog,0.05,0.44549164175987244,0.5595782849216326,0.6476604912637792,5.998257100000046,0.030154799998854287,6.0284118999989005
mnist,umap,10000,50,10,62,sharpen_hog,0.05,0.43538808822631836,0.5691093122194757,0.6512755513571664,6.348923499997909,0.030080000000452856,6.379003499998362
fashion_mnist,pca,10000,2,10,42,raw,0.05,0.39612945914268494,0.26120490164861193,0.4181894277629377,0.1674892999981239,0.00994160000118427,0.17743089999930817
